horizon,Model,Escalation,Quad,Goldstein,CAMEO,Average
1 month,Base specification,0.7909362240002118,0.782528274666296,0.7910024022712383,0.8043671041050382,NA
1 month,Terminal nodes,0.7952576650982416,0.7788818519327364,0.7516428755782326,0.8097473975394919,NA
1 month,Sample size,0.7874618647713211,0.7959426102033659,0.7381193458939691,0.8229929784854441,NA
1 month,Trees per forest,0.7839114005307498,0.783699630063465,0.7922399359394336,0.8076760176563627,NA
1 month,Training/test sets 1,0.7712949879478015,0.7694040395644585,0.762455323746987,0.788517163993018,NA
1 month,Training/test sets 2,0.7449874484200092,0.7745348373681545,0.732457416206083,0.7577922147882392,NA
1 month,Training/test sets 3,0.7086393844001398,0.7972411682406436,0.6881703975749096,0.7252171505188294,NA
1 month,Coding of DV 1,0.794157526452144,0.7963003317110966,0.8006827921842086,0.8165934238880415,NA
1 month,Coding of DV 2,0.797626090814968,0.820296553764236,0.771653601538234,0.8269190948084603,NA
6 months,Base specification,0.7708936498745417,0.7878401852924146,0.8320594479830149,0.7811812391430226,NA
6 months,Terminal nodes,0.7739818567844046,0.7817409766454353,0.8199189345686161,0.7773981856784404,NA
6 months,Sample size,0.7765296274850415,0.7753329473074696,0.7988612237019881,0.7963134530013511,NA
6 months,Trees per forest,0.7711638679791546,0.7875313646014284,0.830264427716657,0.7822814128546612,NA
6 months,Training/test sets 1,0.7515533980582524,0.7935679611650486,0.8168689320388349,0.7607766990291263,NA
6 months,Training/test sets 2,0.6995533182076007,0.7484756097560975,0.776694554736245,0.7442214974475326,NA
6 months,Training/test sets 3,0.8506130790190736,0.7211852861035423,0.838283378746594,0.7134877384196185,NA
6 months,Coding of DV 1,0.7755872483221476,0.7946378635346756,0.8299601510067114,0.798080956375839,NA
6 months,Coding of DV 2,0.798469387755102,0.7783163265306122,0.8390731292517006,0.7996598639455782,NA
